Date,Team_H,Score_H,Score_A,Team_A,Location,Season
7 May,Adelaide Thunderbirds,47,49,Giants Netball,Priceline Stadium,2017.0
12 May,Sunshine Coast Lightning,64,50,West Coast Fever,University of the Sunshine Coast Stadium,2017.0
13 May,Collingwood Magpies,62,50,New South Wales Swifts,Hisense Arena,2017.0
13 May,Queensland Firebirds,59,48,Adelaide Thunderbirds,Brisbane Entertainment Centre,2017.0
14 May,Giants Netball,56,52,Melbourne Vixens,AIS Arena,2017.0
19 May,Giants Netball,53,56,Queensland Firebirds,Sydney Olympic Park Sports Centre,2017.0
20 May,West Coast Fever,42,49,Collingwood Magpies,Perth Arena,2017.0
20 May,Sunshine Coast Lightning,63,49,New South Wales Swifts,University of the Sunshine Coast Stadium,2017.0
21 May,Melbourne Vixens,71,50,Adelaide Thunderbirds,Margaret Court Arena,2017.0
27 May,New South Wales Swifts,48,67,Queensland Firebirds,Qudos Bank Arena,2017.0
27 May,West Coast Fever,42,68,Melbourne Vixens,Perth Arena,2017.0
27 May,Giants Netball,55,56,Sunshine Coast Lightning,Qudos Bank Arena,2017.0
28 May,Adelaide Thunderbirds,47,49,Collingwood Magpies,Titanium Security Arena,2017.0
18 Feb,Giants Netball,58,53,New South Wales Swifts,Sydney Olympic Park Sports Centre,2017.0
18 Feb,Melbourne Vixens,58,55,Collingwood Magpies,Hisense Arena,2017.0
18 Feb,Queensland Firebirds,56,56,Sunshine Coast Lightning,Brisbane Entertainment Centre,2017.0
19 Feb,Adelaide Thunderbirds,56,51,West Coast Fever,Priceline Stadium,2017.0
25 Feb,New South Wales Swifts,54,44,Adelaide Thunderbirds,Qudos Bank Arena,2017.0
25 Feb,Giants Netball,66,51,West Coast Fever,Qudos Bank Arena,2017.0
25 Feb,Queensland Firebirds,50,54,Collingwood Magpies,Brisbane Convention & Exhibition Centre,2017.0
26 Feb,Sunshine Coast Lightning,58,52,Melbourne Vixens,University of the Sunshine Coast Stadium,2017.0
3 Mar,West Coast Fever,47,60,Queensland Firebirds,Perth Arena,2017.0
4 Mar,Collingwood Magpies,51,59,Giants Netball,Hisense Arena,2017.0
4 Mar,Melbourne Vixens,59,59,New South Wales Swifts,Hisense Arena,2017.0
5 Mar,Adelaide Thunderbirds,42,51,Sunshine Coast Lightning,Priceline Stadium,2017.0
10 Mar,Queensland Firebirds,62,53,New South Wales Swifts,Brisbane Convention & Exhibition Centre,2017.0
11 Mar,Melbourne Vixens,56,45,West Coast Fever,Hisense Arena,2017.0
11 Mar,Sunshine Coast Lightning,54,55,Giants Netball,University of the Sunshine Coast Stadium,2017.0
12 Mar,Collingwood Magpies,64,45,Adelaide Thunderbirds,Hisense Arena,2017.0
17 Mar,West Coast Fever,50,45,New South Wales Swifts,HBF Stadium,2017.0
18 Mar,Queensland Firebirds,50,66,Melbourne Vixens,Brisbane Entertainment Centre,2017.0
18 Mar,Sunshine Coast Lightning,51,50,Collingwood Magpies,Brisbane Entertainment Centre,2017.0
19 Mar,Giants Netball,53,38,Adelaide Thunderbirds,AIS Arena,2017.0
24 Mar,West Coast Fever,49,66,Sunshine Coast Lightning,HBF Stadium,2017.0
25 Mar,Melbourne Vixens,59,51,Giants Netball,Hisense Arena,2017.0
25 Mar,Adelaide Thunderbirds,39,49,Queensland Firebirds,Titanium Security Arena,2017.0
26 Mar,New South Wales Swifts,54,55,Collingwood Magpies,Sydney Olympic Park Sports Centre,2017.0
1 Apr,New South Wales Swifts,56,59,Giants Netball,Sydney Olympic Park Sports Centre,2017.0
